dorsal hypothalamic area,cocomac:2148,dorsal hypothalamic area,UBERON:0002954,FMA:62339
Temporopolar cortex,cocomac:1593,temporal pole,UBERON:0002576,FMA:74890
Nucleus intercalatus,cocomac:1676,nucleus intercalatus,UBERON:0002876,FMA:72597
amygdalohippocampal area,cocomac:10,amygdalohippocampal area,UBERON:0034673,FMA:77607
Piriform cortex,cocomac:99,piriform cortex,UBERON:0004725,
Entorhinal cortex,cocomac:1487,entorhinal cortex,UBERON:0002728,FMA:72356
lateral geniculate body,cocomac:704,lateral geniculate body,UBERON:0001926,FMA:62209
posterior cingulate cortex,cocomac:1702,posterior cingulate cortex,UBERON:0022353,FMA:271593
"Nucleus caudatus; head, intermediate, central",cocomac:949,caudate nucleus,UBERON:0001873,FMA:61833
Retrosplenial Cortex,cocomac:697,retrosplenial region,UBERON:0013531,
Pretectum,cocomac:1089,pretectal region,UBERON:0001944,FMA:62402
Piriform cortex,cocomac:1279,piriform cortex,UBERON:0004725,
Stria olfactoria lateralis,cocomac:2127,lateral olfactory stria,UBERON:0001888,FMA:61971
Nucleus parafascicularis thalami,cocomac:2349,parafascicular nucleus,UBERON:0001922,FMA:62166
Secondary auditory cortex,cocomac:1054,secondary auditory cortex,UBERON:0034752,
nucleus pulvinaris inferior thalami,cocomac:730,inferior pulvinar nucleus,UBERON:0002982,FMA:62183
anterior amygdaloid area,cocomac:1430,anterior amygdaloid area,UBERON:0002890,FMA:61861
prosubiculum,cocomac:1418,Prosubiculum,MBA:484682470,
Secondary visual cortex,cocomac:1984,secondary visual cortex,UBERON:0022232,
Nucleus basalis (Meynert),cocomac:2142,basal nucleus of telencephalon,UBERON:0010010,FMA:61887
regio superior (hippocampus),cocomac:122,CA1 field of hippocampus,UBERON:0003881,FMA:74042
substantia innominata,cocomac:32,substantia innominata,UBERON:0003017,FMA:61885
Corpus mamillaris,cocomac:2155,mammillary body,UBERON:0002206,FMA:74877
Nucleus lentiformis thalami,cocomac:223,nucleus lentiformis thalamus,UBERON:0035583,
nucleus limitans thalami,cocomac:718,limitans nucleus,UBERON:0003026,FMA:62220
nucleus lateralis posterior thalami,cocomac:713,lateral posterior nucleus of thalamus,UBERON:0002983,FMA:62177
Nucleus supraopticus hypothalami,cocomac:2126,supraoptic nucleus,UBERON:0001929,FMA:62317
Periamygdaloid cortex,cocomac:7,periamygdaloid cortex,UBERON:0014537,
Retrosplenial cortex,cocomac:2297,retrosplenial region,UBERON:0013531,
Dorsal lateral geniculate nucleus,cocomac:467,dorsal lateral geniculate nucleus,UBERON:0002479,FMA:62214
Nucleus gracilis,cocomac:2181,gracile nucleus,UBERON:0002161,FMA:72602
Parietal operculum,cocomac:440,parietal operculum,UBERON:0002911,FMA:74889
basal forebrain,cocomac:1929,basal forebrain,UBERON:0002743,FMA:77700
Stria terminalis,cocomac:925,stria terminalis,UBERON:0003029,FMA:61974
"Nucleus caudatus; tail, intermediate, ventral",cocomac:1142,caudate nucleus,UBERON:0001873,FMA:61833
"Putamen; caudal, intermediate, dorsal",cocomac:1092,putamen,UBERON:0001874,FMA:61834
Central gray,cocomac:661,central gray substance of midbrain,UBERON:0003040,FMA:74510
Hippocampus,cocomac:17,Ammon's horn,UBERON:0001954,FMA:62493
Nucleus anterodorsalis thalami,cocomac:213,anterodorsal nucleus of thalamus,UBERON:0002679,FMA:62141
"central nucleus, amygdala",cocomac:108,central amygdaloid nucleus,UBERON:0002883,FMA:74047
central nucleus of the inferior colliculus,cocomac:1009,central nucleus of inferior colliculus,UBERON:0002563,FMA:72413
Parasubiculum,cocomac:26,parasubiculum,UBERON:0004683,FMA:77604
Presubiculum,cocomac:582,presubiculum,UBERON:0001953,FMA:62486
Amygdalo-hippocampal area,cocomac:1288,amygdalohippocampal area,UBERON:0034673,FMA:77607
