"Nucleus medialis dorsalis thalami, pars parvocellularis",cocomac:547,caudal part of ventral posterolateral nucleus of thalamus,UBERON:0002781,FMA:62206
"Nucleus medialis dorsalis thalami, pars parvocellularis",cocomac:547,anteromedial nucleus of thalamus,UBERON:0002681,FMA:62142
"Nucleus medialis dorsalis thalami, pars parvocellularis",cocomac:547,ventral anterior nucleus of thalamus,UBERON:0002637,FMA:62184
"Nucleus medialis dorsalis thalami, pars parvocellularis",cocomac:547,thalamic reticular nucleus,UBERON:0001903,FMA:62026
"Nucleus medialis dorsalis thalami, pars parvocellularis",cocomac:547,ventral posterior nucleus of thalamus,UBERON:0002596,FMA:62187
"Nucleus medialis dorsalis thalami, pars parvocellularis",cocomac:547,submedial nucleus of thalamus,UBERON:0003031,FMA:62223
subarea of dorsal premotor cortex,cocomac:1584,premotor cortex,UBERON:0016634,FMA:224852
subarea of dorsal premotor cortex,cocomac:1584,dorsal zone of medial entorhinal cortex,UBERON:0018262,
"Nucleus ventralis lateralis thalami, pars caudalis",cocomac:776,dorsal tegmental nucleus pars ventralis,UBERON:0014569,
"Nucleus ventralis lateralis thalami, pars caudalis",cocomac:776,"commissura rostral, pars ventralis",UBERON:2000185,
"Nucleus ventralis lateralis thalami, pars caudalis",cocomac:776,substantia nigra pars lateralis,UBERON:0002995,FMA:76844
"Nucleus ventralis lateralis thalami, pars caudalis",cocomac:776,nucleus recessus lateralis,UBERON:0014663,
"Nucleus ventralis lateralis thalami, pars caudalis",cocomac:776,nucleus lateralis valvulae,UBERON:2000551,
"Nucleus ventralis lateralis thalami, pars caudalis",cocomac:776,pars postrema of ventral lateral nucleus,UBERON:0002617,FMA:62196
"Nucleus ventralis lateralis thalami, pars caudalis",cocomac:776,ventral posteromedial nucleus of thalamus,UBERON:0002945,FMA:62202
"Nucleus ventralis lateralis thalami, pars caudalis",cocomac:776,medial dorsal nucleus of thalamus,UBERON:0002739,FMA:62156
"Nucleus ventralis lateralis thalami, pars caudalis",cocomac:776,dorsal tegmental nucleus pars dorsalis,UBERON:0014568,
"Nucleus ventralis lateralis thalami, pars caudalis",cocomac:776,anteroventral nucleus of thalamus,UBERON:0002685,FMA:62143
"Nucleus ventralis lateralis thalami, pars caudalis",cocomac:776,ventral lateral nucleus of thalamus,UBERON:0001925,FMA:62186
"Nucleus ventralis lateralis thalami, pars caudalis",cocomac:776,anterodorsal nucleus of thalamus,UBERON:0002679,FMA:62141
"Nucleus ventralis lateralis thalami, pars caudalis",cocomac:776,centromedian nucleus of thalamus,UBERON:0002972,FMA:62165
"Nucleus ventralis lateralis thalami, pars caudalis",cocomac:776,lateral posterior nucleus of thalamus,UBERON:0002983,FMA:62177
"Nucleus ventralis lateralis thalami, pars caudalis",cocomac:776,caudal part of ventral posterolateral nucleus of thalamus,UBERON:0002781,FMA:62206
"Nucleus medialis dorsalis thalami, pars paramediana",cocomac:1990,dorsal tegmental nucleus pars dorsalis,UBERON:0014568,
"Nucleus medialis dorsalis thalami, pars paramediana",cocomac:1990,"commissura rostral, pars dorsalis",UBERON:2000638,
"Nucleus medialis dorsalis thalami, pars paramediana",cocomac:1990,pars postrema of ventral lateral nucleus,UBERON:0002617,FMA:62196
"Nucleus medialis dorsalis thalami, pars paramediana",cocomac:1990,dorsal tegmental nucleus pars ventralis,UBERON:0014569,
"Nucleus medialis dorsalis thalami, pars paramediana",cocomac:1990,ventral posteromedial nucleus of thalamus,UBERON:0002945,FMA:62202
"Nucleus medialis dorsalis thalami, pars paramediana",cocomac:1990,medial dorsal nucleus of thalamus,UBERON:0002739,FMA:62156
